no,name,line,trans,x,y,coporation,juso
106,어린이대공원,서울 도시철도 7호선,일반역,37.54780394,127.0745637,서울교통공사,서울특별시 광진구 능동로 지하210(화양동)
107,중곡,서울 도시철도 7호선,일반역,37.56568111,127.0841504,서울교통공사,서울특별시 광진구 능동로 지하417 (중곡동)
108,건대입구,서울 도시철도 7호선,일반역,37.54060889,127.0698628,서울교통공사,서울특별시 광진구 능동로110(화양동6-3)
109,건대입구,서울 도시철도 2호선,일반역,37.54060889,127.0700628,서울교통공사,서울특별시 광진구 아차산로 243 (화양동)
110,구의,서울 도시철도 2호선,일반역,37.53691864,127.0857297,서울교통공사,서울특별시 광진구 아차산로 384-1 (구의동)
111,광나루,서울 도시철도 5호선,일반역,37.5450481,127.1035121,서울교통공사,서울특별시 광진구 아차산로 지하571 (광장동)
112,군자,서울 도시철도 5호선,일반역,37.55713392,127.079433,서울교통공사,서울특별시 광진구 천호대로 지하550
113,군자,서울 도시철도 7호선,일반역,37.55713392,127.079433,서울교통공사,서울특별시 광진구 천호대로 지하550
114,아차산,서울 도시철도 5호선,일반역,37.55203633,127.0896015,서울교통공사,서울특별시 광진구 천호대로 지하657
115,도림천,서울 도시철도 2호선,일반역,37.51420522,126.8827022,서울교통공사,서울특별시 구로구 경인로 67길 160 (신도림동)
116,온수,서울 도시철도 7호선,일반역,37.49215924,126.8237047,서울교통공사,서울특별시 구로구 경인로3길 지하64 (온수동)
117,남구로,서울 도시철도 7호선,일반역,37.48613283,126.8873355,서울교통공사,서울특별시 구로구 도림로 지하7(구로동)
118,구로디지털단지,서울 도시철도 2호선,일반역,37.48516215,126.9014847,서울교통공사,서울특별시 구로구 도림천로 477 (구로동)
119,신도림,서울 도시철도 2호선,일반역,37.50874994,126.8912511,서울교통공사,서울특별시 구로구 새말로 지하 117-21 (신도림동)
120,천왕,서울 도시철도 7호선,일반역,37.48661459,126.8386245,서울교통공사,서울특별시 구로구 오리로 지하1154(오류동)
121,가산디지털단지,서울 도시철도 7호선,일반역,37.48121776,126.8825816,서울교통공사,서울특별시 금천구 벚꽃로 309 (가산동)
122,공릉,서울 도시철도 7호선,일반역,37.62551321,127.0728236,서울교통공사,서울특별시 노원구 동일로 지하1074
123,하계,서울 도시철도 7호선,일반역,37.63642687,127.0678149,서울교통공사,서울특별시 노원구 동일로 지하1196(하계동)
124,중계,서울 도시철도 7호선,일반역,37.64521691,127.0640831,서울교통공사,서울특별시 노원구 동일로 지하1308-1 (중계동)
125,마들,서울 도시철도 7호선,일반역,37.66516233,127.0573337,서울교통공사,서울특별시 노원구 동일로 지하1530-1 (상계동)
126,수락산,서울 도시철도 7호선,일반역,37.67791554,127.0552343,서울교통공사,서울특별시 노원구 동일로 지하1662 (상계동)
127,태릉입구,서울 도시철도 6호선,일반역,37.61796533,127.0748937,서울교통공사,서울특별시 노원구 동일로 지하992-1 (공릉동)
128,태릉입구,서울 도시철도 7호선,일반역,37.61816533,127.0746937,서울교통공사,서울특별시 노원구 동일로 지하992-1 (공릉동)
129,상계,서울 도시철도 4호선,일반역,37.66090497,127.0731287,서울교통공사,서울특별시 노원구 상계로 182 (상계동)
130,당고개,서울 도시철도 4호선,일반역,37.67032572,127.0789555,서울교통공사,서울특별시 노원구 상계로 305 (상계동)
131,노원,서울 도시철도 4호선,일반역,37.6551493,127.0624948,서울교통공사,서울특별시 노원구 상계로 69-1 (상계동)
132,노원,서울 도시철도 7호선,일반역,37.65496036,127.0620053,서울교통공사,서울특별시 노원구 상계로 69-1 (상계동)
133,석계,서울 도시철도 6호선,일반역,37.61498323,127.0655612,서울교통공사,서울특별시 노원구 화랑로 지하347-1 (월계동)
134,화랑대,서울 도시철도 6호선,일반역,37.62013061,127.0844264,서울교통공사,서울특별시 노원구 화랑로 지하510
135,도봉산,서울 도시철도 7호선,일반역,37.68923188,127.0461005,서울교통공사,서울특별시 도봉구 도봉로 964-40 (도봉동)
136,쌍문,서울 도시철도 4호선,일반역,37.64853159,127.0345002,서울교통공사,서울특별시 도봉구 도봉로 지하 486-1 (창동)
137,창동,서울 도시철도 4호선,일반역,37.65312232,127.0476886,서울교통공사,서울특별시 도봉구 마들로 11길 77 (창동)
138,신설동,서울 도시철도 1호선,일반역,37.57528723,127.0249104,서울교통공사,서울특별시 동대문구 왕산로 지하 1 (신설동)
139,신설동,서울 도시철도 2호선,일반역,37.57519632,127.0248584,서울교통공사,서울특별시 동대문구 왕산로 지하 1 (신설동)
140,청량리,서울 도시철도 1호선,일반역,37.5801441,127.0457768,서울교통공사,서울특별시 동대문구 왕산로 지하 205(전농동)
141,제기동,서울 도시철도 1호선,일반역,37.57812027,127.0344966,서울교통공사,서울특별시 동대문구 왕산로 지하 93 (제기동)
142,용두,서울 도시철도 2호선,일반역,37.57389197,127.0379098,서울교통공사,서울특별시 동대문구 천호대로 지하 129
143,장한평,서울 도시철도 5호선,일반역,37.56153057,127.0642826,서울교통공사,서울특별시 동대문구 천호대로 지하405 (장안동)
144,사당,서울 도시철도 2호선,일반역,37.4767992,126.9816245,서울교통공사,서울특별시 동작구 남부순환로 지하 2089 (사당동)
145,신대방,서울 도시철도 2호선,일반역,37.48741288,126.9135942,서울교통공사,서울특별시 동작구 대림로 2 (신대방동)
146,사당,서울 도시철도 4호선,일반역,37.4767992,126.9814245,서울교통공사,"서울특별시 동작구 동작대로 3(사당동,사당역(4호선))"
147,총신대입구,서울 도시철도 4호선,일반역,37.48678247,126.981945,서울교통공사,서울특별시 동작구 동작대로 지하 117 (사당동)
148,남성,서울 도시철도 7호선,일반역,37.48453469,126.9712351,서울교통공사,서울특별시 동작구 사당로 지하218 (사당동)
149,이수,서울 도시철도 7호선,일반역,37.48658247,126.981745,서울교통공사,서울특별시 동작구 사당로 지하310 (사당동)
150,숭실대입구,서울 도시철도 7호선,일반역,37.4961804,126.9534722,서울교통공사,서울특별시 동작구 상도로 지하 378
151,장승배기,서울 도시철도 7호선,일반역,37.50482108,126.9388623,서울교통공사,서울특별시 동작구 상도로 지하188(상도동)
152,보라매,서울 도시철도 7호선,일반역,37.49989004,126.9203052,서울교통공사,서울특별시 동작구 상도로 지하2(대방동)
153,상도,서울 도시철도 7호선,일반역,37.50285237,126.9477417,서울교통공사,서울특별시 동작구 상도로 지하272(상도1동)
154,신대방삼거리,서울 도시철도 7호선,일반역,37.49968797,126.9280519,서울교통공사,서울특별시 동작구 상도로 지하76 (대방동)
155,동작,서울 도시철도 4호선,일반역,37.50300413,126.9790224,서울교통공사,서울특별시 동작구 현충로 257 (동작동)
156,대흥,서울 도시철도 6호선,일반역,37.54766489,126.9422206,서울교통공사,서울특별시 마포구 대흥로 지하 85
157,광흥창,서울 도시철도 6호선,일반역,37.54746977,126.9318177,서울교통공사,서울특별시 마포구 독막로 지하 165
158,상수,서울 도시철도 6호선,일반역,37.54776978,126.9225838,서울교통공사,서울특별시 마포구 독막로 지하85 (상수동)
159,공덕,서울 도시철도 5호선,일반역,37.54412449,126.9513584,서울교통공사,서울특별시 마포구 마포대로 지하100(공덕동)
160,애오개,서울 도시철도 5호선,일반역,37.5535295,126.9566133,서울교통공사,서울특별시 마포구 마포대로 지하210 (아현동)
161,마포,서울 도시철도 5호선,일반역,37.53956668,126.9457536,서울교통공사,서울특별시 마포구 마포대로 지하33 (도화동)
162,공덕,서울 도시철도 6호선,일반역,37.54354807,126.9518977,서울교통공사,서울특별시 마포구 백범로 지하 200(공덕동)
163,이대,서울 도시철도 2호선,일반역,37.55672128,126.945801,서울교통공사,서울특별시 마포구 신촌로 지하 180 (염리동)
164,아현,서울 도시철도 2호선,일반역,37.55721977,126.9561295,서울교통공사,서울특별시 마포구 신촌로 지하 270 (아현동)
165,신촌,서울 도시철도 2호선,일반역,37.55544179,126.9368826,서울교통공사,서울특별시 마포구 신촌로 지하 90 (노고산동)
166,합정,서울 도시철도 6호선,일반역,37.54979888,126.9141239,서울교통공사,서울특별시 마포구 양화로 지하 45
167,합정,서울 도시철도 2호선,일반역,37.54959888,126.9141239,서울교통공사,서울특별시 마포구 양화로 지하 55 (서교동)
168,홍대입구,서울 도시철도 2호선,일반역,37.55701523,126.9249829,서울교통공사,서울특별시 마포구 양화로 지하160 (동교동)
169,마포구청,서울 도시철도 6호선,일반역,37.56350657,126.9031935,서울교통공사,서울특별시 마포구 월드컵로 지하190 (성산동)
170,월드컵경기장,서울 도시철도 6호선,일반역,37.56938269,126.8990612,서울교통공사,서울특별시 마포구 월드컵로 지하240 (성산동)
171,망원,서울 도시철도 6호선,일반역,37.55594386,126.9098166,서울교통공사,서울특별시 마포구 월드컵로 지하77 (망원동)
172,신촌역,경의중앙선,일반역,37.559768,126.942308,한국철도공사,서울특별시 서대문구 대현동 74-12
173,충정로,서울 도시철도 2호선,일반역,37.56022847,126.9634503,서울교통공사,서울특별시 서대문구 서소문로 지하 17 (충정로3가)
