,gov,gu,name,school,type,juso,x,y
53,BE_LiST23-0023,동대문구,삼육보건대학교,전문대학(3년제),사립,서울 동대문구 휘경2동,37.5866196,127.0638107
54,BE_LiST23-0024,종로구,상명대학교,일반대학,사립,서울 종로구 홍지동 상명대학교,37.60250205,126.9548314
55,BE_LiST23-0025,마포구,서강대학교,일반대학,사립,서울 마포구 신수동 서강대학교,37.5521044,126.9409839
56,BE_LiST23-0026,성북구,서경대학교,일반대학,사립,서울 성북구 정릉4동 서경대학교,37.6150877,127.0128326
57,BE_LiST23-0027,노원구,서울과학기술대학교,일반대학,국립,서울 노원구 공릉로 232 ,37.6405461,127.0688312
58,BE_LiST23-0028,노원구,서울과학기술대학교,산업대학,국립,서울시 노원구 공릉로 232 서울과학기술대학교,37.6324854,127.0794878
59,BE_LiST23-0029,서초구,서울교육대학교,교육대학,국립,서울 서초구 서초중앙로 96,37.4820634,127.0180538
60,BE_LiST23-0030,은평구,서울기독대학교,일반대학,사립,서울 은평구 갈현로 4길 26-2호,37.6008565,126.9123274
61,BE_LiST23-0031,관악구,서울대학교,일반대학,국립대법인,서울 관악구 관악로 1 서울대학교,37.45672996,126.9499967
62,BE_LiST23-0032,마포구,서울디지털대학교,사이버대학(대학),사립,서울 마포구 도화동 560번지,37.543038,126.947751
63,BE_LiST23-0033,강북구,서울사이버대학교,사이버대학(대학),사립,서울 강북구 솔매로49길 60,37.6283087,127.0261751
