gov,gu,name,school,type,juso,student,class,x,y
북부,노원구,서울동일초등학교,초등학교, 공립,서울특별시 노원구 한글비석로 566 ,25.2,43,37.66052,127.07181
북부,노원구,서울동일초등학교병설유치원,유치원,공립,서울특별시 노원구 한글비석로 566  ,23.3,3,37.66052,127.07181
북부,노원구,우리유치원,유치원,사립,서울특별시 노원구 한글비석로 281 ,22,7,37.66052,127.07181
북부,노원구,지혜유치원,유치원,사립,서울특별시 노원구 한글비석로 530 ,24.7,3,37.66052,127.07181
서울시,노원구,청원고등학교,고등학교, 일반고, 서울특별시 노원구 한글비석로 506 ,37.4,51,37.66052,127.07181
서울시,노원구,청원여자고등학교,고등학교, 일반고, 서울특별시 노원구 한글비석로 506 ,32.9,44,37.66052,127.07181
북부,노원구,청원유치원,유치원,사립,서울특별시 노원구 한글비석로 506 ,19,4,37.66052,127.07181
북부,노원구,청원중학교,중학교, 사립, 서울특별시 노원구 한글비석로 506 ,34.5,27,37.66052,127.07181
북부,노원구,청원초등학교,초등학교, 사립,서울특별시 노원구 한글비석로 506 ,27.5,36,37.66052,127.07181
북부,도봉구,서울가인초등학교,초등학교, 공립,서울특별시 도봉구 도봉로136다길 4 ,23.3,29,37.6609228,127.0426974
북부,노원구,상계제일중학교,중학교, 공립, 서울특별시 노원구 덕릉로86길 29-15 ,30.2,33,37.6610446,127.077473
북부,노원구,키즈위즈유치원,유치원,사립,서울특별시 노원구 덕릉로86길 65 ,16.4,7,37.66110606,127.0786919
북부,도봉구,자연아이유치원,유치원,사립,서울특별시 도봉구 도당로6길 14-11 ,13.3,7,37.6616204,127.0363072
북부,도봉구,삼풍유치원,유치원,사립,서울특별시 도봉구 노해로63가길 101 ,24.2,10,37.6623145,127.0445681
북부,도봉구,서울신학초등학교,초등학교, 공립,서울특별시 도봉구 방학로 247-21 ,21.5,30,37.6627787,127.0431435
북부,도봉구,서울창도초등학교,초등학교, 공립,서울특별시 도봉구 방학로 32-28 ,23.9,43,37.66281,127.01967
북부,노원구,서울계상초등학교,초등학교, 공립,서울특별시 노원구 한글비석로41가길 24 ,24.7,36,37.6628409,127.0669169
북부,노원구,서울상곡초등학교,초등학교, 공립,서울 노원구 노원로38길 34 ,24.1,27,37.6629989,127.0616329
북부,노원구,서울상곡초등학교병설유치원,유치원,공립,서울특별시 노원구 노원로38길 34 ,23.3,3,37.6629989,127.0616329
북부,도봉구,서울방학초등학교,초등학교, 공립,서울특별시 도봉구 도당로9길 34 ,22.4,33,37.6630028,127.033797
북부,도봉구,창동중학교,중학교, 공립, 서울특별시 도봉구 방학로 32 ,28.8,36,37.6630543,127.0487188
북부,노원구,무지개유치원,유치원,사립,서울특별시 노원구 덕릉로94가길 54 ,24.3,6,37.6642452,127.0783838
동작관악,동작구,무지개유치원,유치원,사립,서울특별시 동작구 상도로 399 ,16.5,4,37.6642452,127.0783838
북부,노원구,서울노일초등학교,초등학교, 공립,서울특별시 노원구 동일로 1625 ,23.8,28,37.6644081,127.0579149
북부,노원구,서울수락초등학교,초등학교, 공립,서울특별시 노원구 동일로 1745 ,23.1,41,37.6644081,127.0579149
북부,노원구,서울수락초등학교병설유치원,유치원,공립,서울특별시 노원구 동일로 1745 ,18.7,3,37.6644081,127.0579149
북부,노원구,수락중학교,중학교, 공립, 서울특별시 노원구 동일로 1729 수락중학교,24.2,22,37.6644081,127.0579149
서울시,노원구,용화여자고등학교,고등학교, 일반고, 서울특별시 노원구 동일로 1461 ,36.9,42,37.6644081,127.0579149
북부,노원구,서울덕암초등학교,초등학교, 공립,서울특별시 노원구 덕릉로112길 68 ,23.4,38,37.6659027,127.0780742
북부,노원구,상경중학교,중학교, 공립, 서울특별시 노원구 동일로227길 61 ,31.9,32,37.6664946,127.0536123
북부,노원구,서울온곡초등학교,초등학교, 공립,서울특별시 노원구 한글비석로52길 59 ,24.8,36,37.6672685,127.0659984
북부,노원구,서울상원초등학교,초등학교, 공립,서울특별시 노원구 한글비석로54길 119 ,22.9,33,37.6677142,127.0601072
북부,노원구,상원중학교,중학교, 공립, 서울특별시 노원구 수락산로 182 ,30.8,29,37.6677694,127.0683308
북부,노원구,서울상경초등학교,초등학교, 공립,서울특별시 노원구 수락산로 237 ,23.1,44,37.6677694,127.0683308
북부,노원구,서울상경초등학교병설유치원,유치원,공립,서울특별시 노원구 수락산로 237 ,23.3,3,37.6677694,127.0683308
북부,노원구,서울신상계초등학교,초등학교, 공립,서울특별시 노원구 상계로 267 ,21,31,37.6699798,127.0785037
북부,노원구,서울신상계초등학교병설유치원,유치원,공립,서울특별시 노원구 상계로 267 ,15,4,37.6699798,127.0785037
북부,노원구,서울노일유치원,유치원,공립,서울특별시 노원구 동일로231길 24 ,23.3,6,37.6724601,127.0540129
북부,노원구,서울노원초등학교,초등학교, 공립,서울특별시 노원구 동일로230나길 32 ,18.3,22,37.6730997,127.0583474
북부,노원구,노일중학교,중학교, 공립, 서울특별시 노원구 동일로231길 24 ,31.4,25,37.6732351,127.0538108
북부,도봉구,서울도봉초등학교,초등학교, 공립,서울특별시 도봉구 도봉로173길 96 ,21.1,24,37.6802772,127.0416076
